invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-17878200019,2019-03-04,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314,POINT (-91.410401 41.918328),57,LINN,1092100.0,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.0,7.5,120,900.0,120.0,31.7
INV-19175600055,2019-05-06,3417,Big G Food Store,Po Box 261  310 W Dillon,Marengo,52301,,48,IOWA,1041300.0,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,2,16.26,2.0,0.52
S07718700131,2012-09-13,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,Johnson,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15627,Jameson,12,1000,17.4,26.1,60,1566.0,60.0,15.85
S24319500089,2015-03-03,3704,Celtics Beverage Company,1122 BROADWAY,EMMETSBURG,50536,POINT (-94.678807 43.10937),74,Palo Alto,1051110.0,BLACKBERRY BRANDIES,434,Luxco-St Louis,55087,Paramount Blackberry Brandy,12,1000,6.53,9.8,4,39.2,4.0,1.06
S21800500015,2014-10-15,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317,POINT (-93.519187 41.598109),77,Polk,1701100.0,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,874,The Glenlivet w/50ml 15YR & 18YR,6,850,20.99,32.24,2,64.48,1.7,0.45
INV-03814800007,2017-03-15,5328,Cornerstone Apothecary,122 Main St,Van Horne,52346.0,POINT (-92.091146 42.008325),6,BENTON,1062100.0,Gold Rum,434,LUXCO INC,45248,Paramount Gold Rum,6,1750,7.84,11.76,3,35.28,5.25,1.39
INV-00651300010,2016-10-03,3782,Bender Foods / Guttenberg,619 S Hwy 52,Guttenberg,52052,POINT (-91.100489 42.77964),22,CLAYTON,,,125.0,CEDAR RIDGE VINEYARDS LL,100068,Cedar Ridge American Whiskey Explorer Pack,4,1000,35.75,53.63,4,214.52,4.0,1.06
INV-25802700002,2020-03-11,4866,Tobacco Hut #18 / Council Bluffs,429 Veterans Memorial,Council Bluffs,51501.0,POINT (-95.851844 41.219624),78,POTTAWATTA,1901200.0,Special Order Items,55,SAZERAC NORTH AMERICA,984160,99 Apples Mini,10,600,5.95,8.93,10,89.3,6.0,1.58
S10927700068,2013-03-05,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT (-95.8792 41.238092),78,Pottawattamie,1081010.0,AMERICAN AMARETTO,434,Luxco-St Louis,76488,Paramount Amaretto,6,1750,8.06,12.09,3,36.27,5.25,1.39
S30774800004,2016-02-16,2508,Hy-Vee Food Store #1 / Cedar Rapids,"1843 JOHNSON AVENUE, N.W.",CEDAR RAPIDS,52405,POINT (-91.697941 41.97447),57,Linn,1012300.0,IRISH WHISKIES,370.0,Pernod Ricard USA/Austin Nichols,15628,Jameson,6,1750,29.98,44.97,30,1349.1,52.5,13.87
S30757500003,2016-02-16,4557,Hometown Foods / Traer,420 SECOND ST,TRAER,50675,POINT (-92.468086 42.193386),86,Tama,1031100.0,100 PROOF VODKA,55.0,Sazerac North America,37938,Skol Vodka,6,1750,7.11,10.67,24,256.08,42.0,11.1
INV-38961500030,2021-08-05,3494,Sam's Club 6514 / Waterloo,210 East Tower Park Dr,Waterloo,50702.0,POINT (-92.353103 42.456374),7,BLACK HAWK,1092100.0,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold DSS,12,1000,5.0,7.5,60,450.0,60.0,15.85
INV-39028700138,2021-08-09,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320.0,POINT (-93.596754 41.554101),77,POLK,1092100.0,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold DSS,12,1000,5.0,7.5,180,1350.0,180.0,47.55
S29047200048,2015-11-12,2854,CVS / Pharmacy #10480 / Urbandale,14201 HICKMAN RD,URBANDALE,50323,POINT (-93.814927 41.614948),77,Polk,1042100.0,IMPORTED DRY GINS,35,"Bacardi U.S.A., Inc.",28238,Bombay Sapphire Gin,6,1750,26.5,39.75,3,119.25,5.25,1.39
INV-18383500045,2019-03-27,3920,Smokin' Joe's #11 Tobacco and Liquor Outlet,1606 Camanche Ave,Clinton,52732,POINT (-90.204748 41.827845),23,CLINTON,1062100.0,Gold Rum,35,BACARDI USA INC,43034,Bacardi Gold,24,375,4.5,6.75,3,20.25,1.12,0.29
S27708000009,2015-09-03,4604,Pit Stop Liquors / Newton,"1324, 1st AVE E",NEWTON,50208,POINT (-93.035654 41.699173),50,Jasper,1701100.0,DECANTERS & SPECIALTY PACKAGES,322,Prestige Wine and Spirits Group,339,Kinky Vodka Martini Pack,6,3600,10.0,15.0,6,90.0,21.6,5.71
INV-42641200009,2021-12-07,3814,Costco Wholesale #788 / WDM,7205 Mills Civic Pkwy,West Des Moines,50266.0,POINT (-93.805526 41.561432),25,Dallas,1011600,Straight Rye Whiskies,255,Infinium Spirits,27102,Templeton Rye 4YR,6,750,18.09,27.14,120,3256.8,90.0,23.77
INV-42751900065,2021-12-09,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314.0,POINT (-91.410401 41.918328),57,LINN,1081500,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,60,217.8,60.0,15.85
S27069500204,2015-07-30,2663,Hy-Vee / Urbandale,8701 DOUGLAS,URBANDALE,50322,POINT (-93.739105 41.629364),77,Polk,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15621,Jameson Mini,10,600,11.88,17.82,2,35.64,1.2,0.32
S28622700006,2015-10-22,2595,Hy-Vee Wine and Spirits / Denison,"1620  4TH AVE, SOUTH",DENISON,51442,POINT (-95.348601 42.012395),24,Crawford,1701100.0,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,1838,Malibu w/Dole Pineapple Juice,3,1750,16.49,24.74,60,1484.4,105.0,27.74
S14672000169,2013-09-19,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081400.0,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.21,3.31,96,317.76,96.0,25.36
INV-03442600185,2017-02-23,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320.0,POINT (-93.596754 41.554101),77,POLK,1092100.0,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold Dss,12,1000,4.51,6.77,72,487.44,72.0,19.02
INV-06565700008,2017-08-09,4960,AJ's Liquor III,2401 A Chamberlain St,Ames,50010,POINT (-93.648959 42.021456),85,STORY,1062100.0,Gold Rum,434,LUXCO INC,45247,Paramount Gold Rum,12,1000,4.42,6.63,72,477.36,72.0,19.02
INV-27368800014,2020-05-20,4326,Stratford Food Center,829 Shakespeare Ave,Stratford,50249.0,POINT (-93.92715 42.271302),40,HAMILTON,1081100.0,Coffee Liqueurs,370,PERNOD RICARD USA,67527,Kahlua Coffee,12,1000,15.15,22.73,2,45.46,2.0,0.52
